Título,Precio,Moneda,Expensas,Ubicación,Superficie,Estado,Ambientes,Baños,Antigüedad,Barrio
"Belgrano, Capital Federal",500000,ARS,80000,"Av Cramer 2500, Piso 6",32.0,,,1,9,Belgrano
"Caballito, Capital Federal",1500000,ARS,210000,Chaco 100,115.0,,4 dorm.,,50,Caballito
"Barrio Norte, Capital Federal",1100000,ARS,300000,"Libertad 1600, Piso 1",75.0,,2 dorm.,,25,Barrio Norte
"Villa Urquiza, Capital Federal",950000,ARS,240000,Fernandez Blanco 2300,50.0,,2 dorm.,,25,Villa Urquiza
"Nuñez, Capital Federal",1000,USD,,IBERA al 2400,40.0,A Estrenar,1 dorm.,,,Nuñez
"Recoleta, Barrio Norte",2000,USD,,Montevideo y Av del Libertador AMOBLADO 3 AMBIENTES + ESCRITORIO + DEPENDENCIA + COCHERA,143.0,,2 dorm.,,60,Recoleta
"Barrio Norte, Capital Federal",750000,ARS,150000,LARREA Y AV. SANTA FE 2°,78.0,,2 dorm.,,40,Barrio Norte
"San Telmo, Capital Federal",500,USD,100000,"Chacabuco 1000, Piso 1",34.0,,,1,12,San Telmo
"Nuñez, Capital Federal",650000,ARS,130000,"Arcos 2800, Piso 6",36.0,,1 dorm.,,30,Nuñez
"Palermo, Capital Federal",500000,ARS,247000,MALABIA al 2200 2°,37.0,,,1,40,Palermo
"Palermo, Capital Federal",400000,ARS,124631,GASCON Y AV. CORDOBA 2°,38.0,,,1,40,Palermo
"San Telmo, Capital Federal",450000,ARS,90000,Chile al 900,,,1 dorm.,1,16,San Telmo
"Flores Norte, Flores",670000,ARS,110000,"Manuel Ricardo Trelles 776 700, Piso 5",,A Estrenar,1 dorm.,1,,Flores
"Flores, Capital Federal",490000,ARS,65000,Avenida Carabobo 100,,Frente,1 dorm.,,,Flores
"Caballito, Capital Federal",700000,ARS,80000,J. M. Moreno al 100,56.0,,1 dorm.,,45,Caballito
"Barrio Norte, Capital Federal",750000,ARS,120000,"Charcas 2900, Piso PB",60.0,,1 dorm.,,50,Barrio Norte
"Barrio Norte, Capital Federal",500000,ARS,110000,"Billinghurst 2300, Piso 2",38.0,,1 dorm.,,40,Barrio Norte
"Barrio Norte, Capital Federal",340000,ARS,113045,ECUADOR al 1100 6°,20.0,,,1,40,Barrio Norte
"Villa Crespo, Capital Federal",520000,ARS,3000,"Malabia 200, Piso 1",35.0,Bueno,,,50,Villa Crespo
"Chacarita, Capital Federal",800000,ARS,180000,"Jorge Newbery 3900, Piso 7",60.0,,2 dorm.,,35,Chacarita
"Chacarita, Capital Federal",500000,ARS,64000,"Avenida Corrientes 6300, Piso 3",30.0,,,1,6,Chacarita
"Parque Chas, Villa Urquiza",480000,ARS,50000,"Del Temple 2600, Piso 5",,Monoam.,,1,8,Villa Urquiza
"Villa Crespo, Capital Federal",550000,ARS,135000,"Lavalleja 100, Piso 1",39.0,,1 dorm.,,40,Villa Crespo
"Flores, Capital Federal",600000,ARS,150000,"Carabobo 100, Piso 8",,,1 dorm.,1,12,Flores
"Nuñez, Capital Federal",,ARS,230000,Grecia 3300,,Excelente,1 dorm.,,,Nuñez
"Palermo, Capital Federal",500000,ARS,137000,"Francisco Acuña De Figueroa 1200, Piso 1",,,1 dorm.,1,,Palermo
"Belgrano R, Belgrano",650000,ARS,96000,"Zapiola 2000, Piso 6",,,1 dorm.,,30,Belgrano
"Nuñez, Capital Federal",630000,ARS,200000,"Paroissien 1600, Piso 1",40.0,,,1,3,Nuñez
"Barrio Norte, Capital Federal",300000,ARS,68000,AV. SANTA FE Y AV. PUEYRREDON 4°,28.0,,,1,40,Barrio Norte
"Villa Crespo, Capital Federal",400000,ARS,122877,THAMES al 600 7°,29.0,,,1,40,Villa Crespo
"Nuñez, Capital Federal",430000,ARS,95000,Juramento 2800,,,,,,Nuñez
"Palermo, Capital Federal",400000,ARS,89500,BULNES al 1600 4°,34.0,,1 dorm.,,40,Palermo
"Recoleta, Barrio Norte",490000,ARS,65000,AYACUCHO al 1400 3°,35.0,,1 dorm.,,40,Recoleta
"Belgrano R, Belgrano",1900,USD,360000,Conesa 2155 2 A,140.0,,2 dorm.,,25,Belgrano
"Urquiza R, Villa Urquiza",750000,ARS,130000,Donado al 2300,35.0,A Estrenar,1 dorm.,,,Villa Urquiza
"Palermo, Capital Federal",490000,ARS,160000,Armenia 1000,38.0,,1 dorm.,,40,Palermo
"Villa Urquiza, Capital Federal",600000,ARS,,Colodrero 2600,40.0,,1 dorm.,1,,Villa Urquiza
"Palermo Chico, Palermo",900000,ARS,145000,Castex 3300,53.0,,2 dorm.,,50,Palermo
"Caballito, Capital Federal",700000,ARS,122000,"Avenida José María Moreno 200, Piso 5",66.0,,2 dorm.,,60,Caballito
"Flores Norte, Flores",625000,ARS,150000,"Avenida Avellaneda 2700, Piso 4",53.0,,2 dorm.,,50,Flores
"Belgrano, Capital Federal",600000,ARS,,"CUBA 2600, Piso 2",44.0,,1 dorm.,,35,Belgrano
"Barrio Norte, Capital Federal",1000000,ARS,300000,"Arenales 2500, Piso 6",90.0,,3 dorm.,,50,Barrio Norte
"Caballito Norte, Caballito",580000,ARS,60000,"Paysandu 500, Piso 3",,Monoam.,,1,4,Caballito
"Villa del Parque, Capital Federal",950000,ARS,180000,"Nazarre 2600, Piso 5",60.0,,2 dorm.,,12,Villa del Parque
"Almagro Norte, Almagro",520000,ARS,140000,"Tucumán 3700, Piso 9",32.0,,1 dorm.,,39,Almagro
"Constitucion, Capital Federal",630000,ARS,170000,Avenida Juan De Garay 1200,,,2 dorm.,2,60,Constitución
"Urquiza R, Villa Urquiza",1700000,ARS,365000,"Avenida Olazábal 5000, Piso 8",75.0,,3 dorm.,,20,Villa Urquiza
"Belgrano R, Belgrano",800000,ARS,200000,"Av Crámer 1900, Piso 6",60.0,,2 dorm.,,60,Belgrano
"Monserrat, Centro",450000,ARS,59000,Av. Belgrano al 1200,33.0,A Estrenar,,1,,Monserrat
"Villa Devoto, Capital Federal",700000,ARS,,"Avenida Francisco Beiró 5100, Piso 5",48.0,,1 dorm.,1,,Villa Devoto
"Congreso, Capital Federal",900000,ARS,150000,"MEXICO 1900, Piso 4",71.0,,2 dorm.,,7,Congreso
"Barrio Norte, Capital Federal",750000,ARS,120000,"Uriarte 2100, Piso 4",60.0,,2 dorm.,,40,Barrio Norte
"Tribunales, Centro",550000,ARS,155000,"Tucuman al 1400, piso 6°",54.0,,2 dorm.,,45,Tribunales
"Caballito Sur, Caballito",620000,ARS,138000,"Benjamin Viel 400, Piso 2",40.0,,1 dorm.,1,,Caballito
"Palermo, Capital Federal",580000,ARS,125000,"Malabia 2300, Piso PB",44.0,,1 dorm.,,78,Palermo
"Belgrano R, Belgrano",2200000,ARS,430000,"La Pampa 3000, Piso 8",130.0,,3 dorm.,,15,Belgrano
"Botanico, Palermo",600000,ARS,150000,"REPUBLICA ARABE SIRIA 3200, Piso 2",37.0,,1 dorm.,,50,Palermo
"Recoleta, Barrio Norte",900,USD,,"Aguero 1500, Piso 8",,,1 dorm.,1,10,Recoleta
"Villa Urquiza, Capital Federal",630000,ARS,,Tomás Le Bretón 4800,37.0,,1 dorm.,1,,Villa Urquiza
"Villa del Parque, Capital Federal",400000,ARS,60000,Nazca al 3100,51.0,,1 dorm.,,35,Villa del Parque
"Palermo, Capital Federal",550000,ARS,120000,Mario Bravo al 1000,53.0,,,1,45,Palermo
"Palermo, Capital Federal",650000,ARS,156378,MALABIA al 2200 6°,58.0,,2 dorm.,,40,Palermo
"Palermo, Capital Federal",790000,ARS,330000,GUEMES al 4100 14°,80.0,,2 dorm.,,40,Palermo
"Urquiza R, Villa Urquiza",950000,ARS,200000,"Ceretti 2600, Piso 5",61.0,A Estrenar,2 dorm.,,,Villa Urquiza
"Almagro Norte, Almagro",,ARS,160354,"Jerónimo Salguero 800, Piso 2",22.0,,1 dorm.,,70,Almagro
"Caballito Sur, Caballito",550000,ARS,111000,"Muñiz 500, Piso 10",37.0,A Estrenar,,1,,Caballito
"Congreso, Capital Federal",420000,ARS,109000,"Riobamba 400, Piso 7",32.0,,,1,45,Congreso
"Colegiales, Capital Federal",420000,ARS,65000,TEODORO GARCIA al 2800,36.0,,1 dorm.,,40,Colegiales
"Belgrano, Capital Federal",700000,ARS,150000,"Franklin Delano Roosevelt 2300, Piso 5",50.0,,2 dorm.,,35,Belgrano
"Belgrano Chico, Belgrano",850000,ARS,100000,"La Pampa 700, Piso 5",46.0,,,1,6,Belgrano
"Urquiza R, Villa Urquiza",750000,ARS,170000,Burela 2100,41.0,,1 dorm.,,30,Villa Urquiza
"Urquiza R, Villa Urquiza",900000,ARS,170000,Av. Olazabal 4800,42.0,,1 dorm.,,15,Villa Urquiza
"Recoleta, Barrio Norte",420000,ARS,107000,"Beruti 2300, piso 7",27.0,Monoam.,,,,Recoleta
"Palermo, Capital Federal",530000,ARS,175000,"José Antonio Cabrera 3000, Piso 1",35.0,Monoam.,,1,,Palermo
"Villa Urquiza, Capital Federal",450000,ARS,102000,"Juramento 5000, Piso 6",36.0,Monoam.,,,10,Villa Urquiza
"San Cristobal, Capital Federal",400000,ARS,90000,La Rioja 1200,35.0,,1 dorm.,,45,San Cristóbal
"San Cristobal, Capital Federal",450000,ARS,,Santiago Del Estero 700,,,,,,San Cristóbal
"Belgrano, Capital Federal",700000,ARS,53270,CRAMER al 1900 9°,39.0,,1 dorm.,,40,Belgrano
"San Cristobal, Capital Federal",1100000,ARS,,Av. Independencia 13000,36.0,,,1,5,San Cristóbal
"San Cristobal, Capital Federal",400000,ARS,90000,Sarandí al 1200,40.0,,1 dorm.,,40,San Cristóbal
"Villa Urquiza, Capital Federal",500,USD,188500,"Donado 1900, Piso 4",52.0,Monoam.,,,8,Villa Urquiza
"Caballito, Capital Federal",400000,ARS,80000,"NEUQUEN 1800, Piso 1",35.0,,1 dorm.,,,Caballito
"Nuñez, Capital Federal",800000,ARS,175000,AVENIDA LIBERTADOR Y MENDOZA,,,1 dorm.,1,,Nuñez
"Palermo, Capital Federal",490000,ARS,145000,Güemes al 3500,38.0,,1 dorm.,,50,Palermo
"Almagro, Capital Federal",450000,ARS,60000,BULNES 100,22.0,,,1,45,Almagro
"Villa Devoto, Capital Federal",900,USD,300000,Avenida Lastra 4200,47.0,A Estrenar,1 dorm.,,,Villa Devoto
"Botanico, Palermo",1400,USD,406000,"Juan Maria Gutierrez 3900, Piso 9",70.0,,2 dorm.,,20,Palermo
"San Cristobal, Capital Federal",400000,ARS,90000,"Solis 700, Piso Pb",23.0,Monoam.,,1,,San Cristóbal
"Barrio Norte, Capital Federal",330000,ARS,,"Av. Córdoba 2000, Piso 7",,Contra Frente,,,,Barrio Norte
"Recoleta, Barrio Norte",420000,ARS,120000,"Uriburu 1400, Piso 1",30.0,,,1,40,Recoleta
"Floresta, Capital Federal",450000,ARS,69700,"Bogota 3700, Piso 2",,,1 dorm.,1,,Flores
"Almagro Norte, Almagro",500000,ARS,95000,C Castillo 100,37.0,Monoam.,,,5,Almagro
"Paternal, Capital Federal",480000,ARS,,AV SAN MARTIN 2700,32.0,,1 dorm.,,40,La Paternal
"Belgrano, Capital Federal",1500000,ARS,320300,"Crámer 1700, Piso 6",75.0,,2 dorm.,,2,Belgrano
"Palermo Soho, Palermo",1190000,ARS,225000,"Paraguay 4200, Piso 7",70.0,,2 dorm.,,16,Palermo
"Recoleta, Barrio Norte",350000,ARS,131600,AGUERO al 2200 3°,24.0,,,1,40,Recoleta
"Recoleta, Barrio Norte",5000,USD,750000,AV LAS HERAS al 3000,204.0,,3 dorm.,,25,Recoleta
"Caballito, Capital Federal",450000,ARS,110000,"Cnel. Ramon L. Falcon 1500, Piso 4",45.0,,1 dorm.,,45,Caballito
"Parque Chacabuco, Capital Federal",570000,ARS,110000,"Av Del Barco Centenera 1000, Piso 8",45.0,,2 dorm.,,30,Parque Chacabuco
"Villa Devoto, Capital Federal",400000,ARS,170000,Llavallol 4600,33.0,,,1,12,Villa Devoto
"Belgrano C, Belgrano",680000,ARS,142000,"Sucre 1500, Piso 2",42.0,,1 dorm.,,25,Belgrano
"Almagro, Capital Federal",550000,ARS,80000,"Av. San Juan 2000, Piso 11",,Frente,,,,Almagro
"Balvanera, Capital Federal",380000,ARS,88000,"Sarmiento 1900, Piso 2",40.0,Frente,,,,Balvanera
"Flores Norte, Flores",440000,ARS,180000,"BOYACA 620 , Piso 8",36.0,,1 dorm.,,17,Flores
"Nuñez, Capital Federal",550000,ARS,97000,"Quesada 2600, Piso 5",35.0,,1 dorm.,,50,Nuñez
"Flores Norte, Flores",380000,ARS,46659,"Yerbal 2700, Piso 4",,,1 dorm.,1,,Flores
"Parque Patricios, Capital Federal",700000,ARS,135000,"Raodeau 3300, Piso 2",56.0,,2 dorm.,,10,Parque Patricios
"Balvanera, Capital Federal",600000,ARS,105000,"ANCHORENA 500, Piso 3",35.0,,1 dorm.,,2009,Balvanera
"Monserrat, Centro",430000,ARS,80000,Venezuela al 900,35.0,,1 dorm.,,3,Monserrat
"Belgrano, Capital Federal",1200000,ARS,220000,Av. Cabildo al 1200,92.0,,3 dorm.,,50,Belgrano
"Villa Luro, Capital Federal",455000,ARS,19100,"Jose M Cortina 100, Piso 2",41.0,,1 dorm.,,40,Villa Luro
"Parque Patricios, Capital Federal",600000,ARS,240000,"Avenida Cseros 3200, Piso 5",3.0,,1 dorm.,,55,Parque Patricios
"Belgrano, Capital Federal",950000,ARS,235000,Husares 2200,44.0,,1 dorm.,,15,Belgrano
"Recoleta, Barrio Norte",700,USD,150000,Paraguay al 3000,39.0,,1 dorm.,,5,Recoleta
"Belgrano, Capital Federal",850000,ARS,420000,José Hernández 2200,57.0,,1 dorm.,1,,Belgrano
"Belgrano R, Belgrano",700000,ARS,145000,"LA PAMPA 2900, Piso 3",38.0,,1 dorm.,,20,Belgrano
"Palermo, Capital Federal",600000,ARS,,MIGUELETES al 1200,40.0,,1 dorm.,,10,Palermo
"Palermo, Capital Federal",500000,ARS,,MIGUELETES al 1200,38.0,,1 dorm.,,10,Palermo
"Las Cañitas, Palermo",2500,USD,500000,Olleros al 1600,146.0,,2 dorm.,,5,Palermo
"Belgrano, Capital Federal",1350000,ARS,200000,La Pampa 1100,58.0,,2 dorm.,,25,Belgrano
"Villa Devoto, Capital Federal",650000,ARS,160000,"Av. Francisco Beiró 4200, Piso 9",50.0,,1 dorm.,,14,Villa Devoto
"Palermo, Capital Federal",1200000,ARS,303200,"ARAOZ 2900, Piso 6",92.0,,3 dorm.,,50,Palermo
"Palermo Viejo, Palermo",1500,USD,400000,"Guatemala 4500, Piso 8",72.0,,2 dorm.,,20,Palermo
"Palermo, Capital Federal",495000,ARS,,Mario Bravo al 1100,35.0,,,1,8,Palermo
"Parque Chacabuco, Capital Federal",470000,ARS,98000,"Emilio Mitre 900, Piso 5",38.0,,1 dorm.,1,,Parque Chacabuco
"Villa Crespo, Capital Federal",430000,ARS,120000,"Padilla 700, Piso 9",35.0,,,1,20,Villa Crespo
"Paternal, Capital Federal",520000,ARS,133000,"12 De Octubre 1800, Piso 7",47.0,,1 dorm.,,15,La Paternal
"Villa Devoto, Capital Federal",400000,ARS,120000,"Avenida Francisco Beiró 3300, Piso 3",,,,1,12,Villa Devoto
"Congreso, Capital Federal",360000,ARS,90000,"MORENO 1700, Piso 10",,Monoam.,,1,48,Congreso
"Urquiza R, Villa Urquiza",800000,ARS,120000,"Cullen 4900, Piso 4",46.0,,1 dorm.,,5,Villa Urquiza
"Caballito, Capital Federal",890000,ARS,,Franklin 2100,47.0,,1 dorm.,1,,Caballito
"Caballito, Capital Federal",900000,ARS,280000,Av La Plata 200,68.0,,2 dorm.,,27,Caballito
"Recoleta, Barrio Norte",700000,ARS,225000,"Callao 1200, Piso 6",33.0,Monoam.,,1,,Recoleta
"Belgrano R, Belgrano",1890000,ARS,437000,"LA PAMPA 3000, Piso 8",140.0,,3 dorm.,,40,Belgrano
"Recoleta, Barrio Norte",987000,ARS,298887,Peña 2900,,,2 dorm.,,27,Recoleta
"Urquiza R, Villa Urquiza",700000,ARS,160000,"Juramento 5200, Piso 5",40.0,,1 dorm.,,6,Villa Urquiza
"Caballito, Capital Federal",1100000,ARS,350000,"Av La Plata 200, Piso 2",,,4 ambientes,,,Caballito
"Barrio Norte, Capital Federal",470000,ARS,80000,"Uriburu 1000, Piso 1",30.0,,,1,45,Barrio Norte
"Belgrano, Capital Federal",1700000,ARS,450000,O'Higgins 1900,90.0,,2 dorm.,,35,Belgrano
"Recoleta, Barrio Norte",450000,ARS,90000,"POSADAS 1500, Piso 9",26.0,,1 dorm.,,40,Recoleta
"Flores, Capital Federal",500000,ARS,95000,Culpina 300,36.0,,1 dorm.,,55,Flores
"Caballito, Capital Federal",650000,ARS,80000,"Thompson 800, Piso 5",43.0,,1 dorm.,,10,Caballito
"Colegiales, Capital Federal",900000,ARS,145000,"CRAMER AVDA 300, Piso -",68.0,,3 dorm.,,45,Colegiales
"Barrio Norte, Capital Federal",280000,ARS,144870,AZCUENAGA al 1300 3°,25.0,,,1,40,Barrio Norte
"Recoleta, Barrio Norte",350000,ARS,120000,"PEÑA 2000, Piso 2",25.0,,,1,49,Recoleta
"Flores, Capital Federal",750000,ARS,85000,"Coronel Ramón Lorenzo Falcón 2000, Piso 12",48.0,,1 dorm.,,40,Flores
"Nuñez, Capital Federal",340000,ARS,90000,"Arcos 3500, Piso 3",,Monoam.,,1,30,Nuñez
"Nuñez, Capital Federal",400000,ARS,92000,"Crisólogo Larralde 2700, Piso 3",,Excelente,,1,,Nuñez
"San Cristobal, Capital Federal",490000,ARS,90000,HUMBERTO PRIMO 2300,26.0,Lateral,,,,San Cristóbal
"Villa Santa Rita, Capital Federal",430000,ARS,91000,"Emilio Lamarca 1700, Piso 3",,,,,,Villa Santa Rita
"Paternal, Capital Federal",730000,ARS,170000,"Alejandro Margariño Cervantes 1800, Piso 19",60.0,,2 dorm.,,15,La Paternal
"Coghlan, Capital Federal",850000,ARS,85000,"Superi 3100, Piso 3",,,2 dorm.,1,,Coghlan
"Flores, Capital Federal",600000,ARS,60000,"Av. San Pedrito 600, Piso 6",,,1 dorm.,1,50,Flores
"Floresta, Capital Federal",480000,ARS,120000,Av rivadavia 8600,48.0,,1 dorm.,,50,Flores
"Flores, Capital Federal",700000,ARS,,"Ramon L Falcon al 2600, piso 1",38.0,,1 dorm.,,60,Flores
"Villa del Parque, Capital Federal",850000,ARS,220000,"BAIGORRIA 2900, Piso 1",90.0,,3 dorm.,2,,Villa del Parque
"Flores Norte, Flores",500000,ARS,85000,"Jose Antonio Paez 2100, Piso 2",36.0,,,1,4,Flores
"Villa del Parque, Capital Federal",500000,ARS,25000,"Adolfo P Carranza 2700, Piso 5°",38.0,,1 dorm.,,,Villa del Parque
"Parque Rivadavia, Caballito",1200000,ARS,221000,Formosa al 200,86.0,,3 dorm.,,30,Caballito
"San Cristobal, Capital Federal",550000,ARS,,"Combate De Los Pozos 600, Piso 3",,Excelente,2 dorm.,,,San Cristóbal
"Flores, Capital Federal",550000,ARS,,"Pergamino 100, Piso 9",,A Estrenar,,1,,Flores
"Almagro, Capital Federal",450000,ARS,,"Mario Bravo 200, Piso 3",30.0,,,1,45,Almagro
"Almagro Norte, Almagro",450000,ARS,95000,"Av RIVADAVIA 4200, Piso 7",40.0,,1 dorm.,,60,Almagro
"Monserrat, Centro",1100000,ARS,,Av. Independencia 1300,36.0,,,1,5,Monserrat
"San Nicolás, Centro",590000,ARS,150000,Lavalle 1500,,,2 dorm.,,39,San Nicolás
"San Telmo, Capital Federal",550000,ARS,100000,"Humberto Primero 900, Piso 5",30.0,,,1,12,San Telmo
"Congreso, Capital Federal",450,ARS,,Teniente General Juan Domingo Perón,,,4 ambientes,1,,Congreso
"Congreso, Capital Federal",380000,ARS,80000,"Av. de Mayo 1300, Piso 8",28.0,Excelente,,,,Congreso
"Boedo, Capital Federal",570000,ARS,115000,Av la plata 1000,,,1 dorm.,2,,Boedo
"Villa Devoto, Capital Federal",550000,USD,55000,"Avenida Francisco Beiró 5000, Piso 3",36.0,A Estrenar,,1,,Villa Devoto
"Belgrano, Capital Federal",350000,ARS,140000,"Amenabar 2400, Piso 1",27.0,,,1,22,Belgrano
"Palermo, Capital Federal",700,USD,150000,Paraguay al 3000,40.0,,1 dorm.,,5,Palermo
