Título,Precio,Moneda,Expensas,Ubicación,Superficie,Estado,Ambientes,Baños,Antigüedad,Barrio
"Belgrano, Capital Federal",850000,ARS,100000,"MIGUELETES 2300, Piso 3",46.0,A Estrenar,1 dorm.,,,Belgrano
"Belgrano, Capital Federal",500000,ARS,290000,Ciudad de la Paz al 1900,37.0,,,1,15,Belgrano
"Belgrano, Capital Federal",500000,ARS,90000,Ciudad de la Paz al 2700,23.0,,,1,7,Belgrano
"Palermo Soho, Palermo",550000,ARS,175000,"Jose Luis Borges 2200, Piso 2",31.0,,,1,15,Palermo
"Parque Rivadavia, Caballito",700000,ARS,206000,"Formosa 400, Piso 5",63.0,,2 dorm.,,30,Caballito
"Caballito Sur, Caballito",580000,ARS,87000,Av. Juan B. Alberdi al 200,38.0,,1 dorm.,,40,Caballito
"Palermo, Capital Federal",650000,ARS,250000,Av. Cabildo 100,52.0,,1 dorm.,1,,Palermo
"Recoleta, Barrio Norte",280000,ARS,140000,Rodriguez Peña al 1000,22.0,,1 dorm.,,5,Recoleta
"Recoleta, Barrio Norte",500000,ARS,85000,"French 2700, Piso 7",35.0,,1 dorm.,,60,Recoleta
"Recoleta, Barrio Norte",450,USD,105000,"Guido 1900, Piso 7",24.0,,,1,60,Recoleta
"Palermo, Capital Federal",1450000,ARS,434000,"Lafinur 2900, Piso 8",,,3 dorm.,2,50,Palermo
"Palermo, Capital Federal",800000,ARS,140000,VIDT 1900,,,1 dorm.,1,,Palermo
"Palermo Soho, Palermo",495000,ARS,100000,Gurruchaga al 2000,30.0,,1 dorm.,,35,Palermo
"Recoleta, Barrio Norte",2400,USD,497000,Presidente José Evaristo Uriburu 1600,94.0,,2 dorm.,,50,Recoleta
"Recoleta, Barrio Norte",700000,ARS,100000,Av Pueyrredon al 2400,31.0,,1 dorm.,,30,Recoleta
"Palermo, Capital Federal",900000,ARS,190000,"Paraguay 3900, Piso 4",75.0,,2 dorm.,,50,Palermo
"Palermo, Capital Federal",700000,ARS,205000,Juncal 4500,45.0,,1 dorm.,,20,Palermo
"Parque Centenario, Capital Federal",850000,ARS,200000,"RAMOS MEJIA 900, Piso 7",64.0,,2 dorm.,,10,Parque Centenario
"Parque Centenario, Capital Federal",470000,ARS,80000,Franklin 100,32.0,,,1,40,Parque Centenario
"Recoleta, Barrio Norte",650000,ARS,200000,"Dr T De Anchorena 1100, Piso 1",43.0,,1 dorm.,,10,Recoleta
"Palermo Hollywood, Palermo",690,USD,100000,"Angel Carranza 2300, Piso 2",52.0,,2 dorm.,,40,Palermo
"Palermo Chico, Palermo",900,USD,200000,"Juan Francisco Seguí 3900, Piso 4",47.0,A Estrenar,,1,,Palermo
"Botanico, Palermo",500000,ARS,100000,"Ugarteche 2800, Piso 6",33.0,,,1,70,Palermo
"Palermo Soho, Palermo",600000,ARS,105000,Av. Santa Fe 4500,,,1 dorm.,1,,Palermo
"Retiro, Centro",650000,ARS,125000,"Av. Cordoba 400, Piso 7",60.0,,1 dorm.,1,,Retiro
"Flores, Capital Federal",890000,ARS,200000,"Avenida Rivadavia 6300, Piso 14",80.0,,3 dorm.,,50,Flores
"Plaza San Martín, Barrio Norte",950000,ARS,280000,"Maipú 900, Piso 3",,,2 dorm.,2,,Barrio Norte
"Villa Crespo, Capital Federal",700000,ARS,,Avda. Juan B. Justo 2500,,,2 dorm.,1,45,Villa Crespo
"Palermo Viejo, Palermo",750,USD,150000,"Vidt 2100, Piso 2",60.0,A Estrenar,2 dorm.,,,Palermo
"Palermo, Capital Federal",680000,ARS,155000,Godoy Cruz al 2900,54.0,A Estrenar,2 dorm.,,,Palermo
"Barrio Norte, Capital Federal",750000,ARS,75000,"Av Santa Fe 2200, Piso 6",,,2 dorm.,1,,Barrio Norte
"Plaza San Martín, Barrio Norte",950000,ARS,278000,"Esmeralda 1300, Piso 16",90.0,,3 dorm.,,60,Barrio Norte
"Puerto Madero, Centro",3900,USD,1350000,Santa Maria del Puerto 5 Amb 2 cocheras - Azucena VIllaflor 300,200.0,,4 dorm.,,22,Puerto Madero
"Barrio Norte, Capital Federal",1100000,ARS,398000,JOSE EVARISTO URIBURU Y AV. SANTA FE 1°,141.0,,3 dorm.,,40,Barrio Norte
"Recoleta, Barrio Norte",650000,ARS,63000,"Avenida Pueyrredón 1000, Piso PB",44.0,,1 dorm.,1,,Recoleta
"Parque Chas, Villa Urquiza",550,USD,90000,"Andonaegui 1200, Piso PB",,Monoam.,,1,,Villa Urquiza
"Villa Urquiza, Capital Federal",500,USD,120000,Avenida Olazábal 4800,45.0,,1 dorm.,,10,Villa Urquiza
"Villa Urquiza, Capital Federal",590000,ARS,215000,Franklin Delano Roosevelt 3400,48.0,,1 dorm.,,20,Villa Urquiza
"Villa Urquiza, Capital Federal",700000,ARS,138000,"Tomas Le Breton 5000, Piso 7",43.0,,1 dorm.,,20,Villa Urquiza
"Palermo, Capital Federal",1000000,ARS,134000,"Av. Santa Fe 3300, Piso 4",80.0,,2 dorm.,,45,Palermo
"Barrio Norte, Capital Federal",880000,ARS,195000,"Av. Santa Fe 1900, Piso 3",57.0,,,1,20,Barrio Norte
"Palermo Soho, Palermo",740000,ARS,175600,"Paraguay 4400, Piso 3",40.0,,1 dorm.,,17,Palermo
"Palermo Hollywood, Palermo",950,USD,114000,"Av Santa Fe 4800, Piso Alt",64.0,,2 dorm.,,15,Palermo
"Recoleta, Barrio Norte",1000,USD,200000,"Larrea 800, Piso PB",72.0,,3 dorm.,,50,Recoleta
"Caballito Sur, Caballito",410000,ARS,64700,"Mendez De Andes 1900, Piso 5",37.0,,,1,2,Caballito
"Caballito, Capital Federal",900000,ARS,150000,Riglos al 400,67.0,,3 dorm.,,50,Caballito
"Tribunales, Centro",250000,ARS,,"Lavalle 1400, Piso 6",,,,,,Tribunales
"Palermo, Capital Federal",500000,ARS,100000,Mario Bravo 1100,30.0,,1 dorm.,,20,Palermo
"Belgrano, Capital Federal",700000,ARS,130000,"Mariscal Antonio José de Sucre 2700, Piso 14",48.0,,2 dorm.,,45,Belgrano
"Belgrano, Capital Federal",2800000,ARS,700000,"Arcos 1600, Piso 7",140.0,,3 dorm.,,40,Belgrano
"Villa Urquiza, Capital Federal",470000,ARS,105000,"AVENIDA MONROE 5600, Piso 4",36.0,,1 dorm.,,4,Villa Urquiza
"Botanico, Palermo",1250000,ARS,160000,"Charcas 4300, Piso 4",76.0,,2 dorm.,,,Palermo
"Palermo Hollywood, Palermo",500000,ARS,90000,Bonpland 1400,,Monoam.,,1,4,Palermo
"Botanico, Palermo",750000,ARS,260000,Av raul scalabrini ortiz 3000,42.0,,,1,10,Palermo
"Villa Urquiza, Capital Federal",800000,ARS,,"Aizpurua 2200, Piso 1",40.0,,1 dorm.,,6,Villa Urquiza
"Palermo, Capital Federal",700000,ARS,230000,"Avenida Coronel Díaz 2100, Piso 1",52.0,,2 dorm.,,,Palermo
"Barrio Norte, Capital Federal",1000,USD,354000,"AUSTRIA 2500, Piso 12",53.0,,1 dorm.,,15,Barrio Norte
"Nuñez, Capital Federal",700000,ARS,132000,"J De Amenabar 3200, Piso 5",47.0,,1 dorm.,,15,Nuñez
"Palermo, Capital Federal",500000,ARS,160000,"Jorge Luis Borges 2200, Piso 3",32.0,Monoam.,,1,,Palermo
"Villa Urquiza, Capital Federal",700000,ARS,,"ALVAREZ THOMAS, AVDA. 2900, Piso 2",43.0,,1 dorm.,1,,Villa Urquiza
"Nuñez, Capital Federal",600000,ARS,160000,NUÑEZ al 3400,45.0,,1 dorm.,,15,Nuñez
"Belgrano C, Belgrano",1300000,ARS,300000,"VIDAL 2500, Piso 1",80.0,,3 dorm.,,15,Belgrano
"Nuñez, Capital Federal",2300000,ARS,233000,"Av. Cabildo al 3400, Entre Juana Azurduy y Manuela Pedraza",165.0,A Estrenar,3 dorm.,,,Nuñez
"Nuñez, Capital Federal",450000,ARS,,"RESERVADO 1700, Piso 9",24.0,,,1,20,Nuñez
"Belgrano, Capital Federal",450000,ARS,105000,Virrey Loreto 2400,32.0,,1 dorm.,1,,Belgrano
"Barrio Norte, Capital Federal",900000,ARS,202270,PARAGUAY Y AV. PUEYRREDON 7°,129.0,,3 dorm.,,40,Barrio Norte
"Palermo, Capital Federal",515000,ARS,55000,"Billinghurst 1300, Piso 6",34.0,,,1,38,Palermo
"Belgrano, Capital Federal",490000,ARS,144600,"Zabala 2400, Piso 1",38.0,,1 dorm.,,50,Belgrano
"Palermo, Capital Federal",650,ARS,,Guise 1700,,,1 dorm.,1,,Palermo
"Villa Urquiza, Capital Federal",650000,ARS,120000,"AV. DELANO FRANKLIN ROOSEVELT 5000, Piso 9",,,1 dorm.,1,25,Villa Urquiza
"Belgrano, Capital Federal",650000,ARS,130000,"Mendoza 3200, Piso 2",,,1 dorm.,,40,Belgrano
"Monserrat, Centro",600,USD,140000,"Virrey Cevallos 300, Piso 1",29.0,,,1,3,Monserrat
"Monserrat, Centro",380000,ARS,220000,"México 1200, Piso 1",35.0,Monoam.,,1,,Monserrat
"Retiro, Centro",600,USD,200000,Talcahuano 1200,,,2 dorm.,,50,Retiro
"Palermo, Capital Federal",800000,ARS,223000,Gorriti al 3600,50.0,,1 dorm.,,11,Palermo
"Retiro, Centro",500000,ARS,126000,Esmeralda al 900,35.0,,1 dorm.,,50,Retiro
"Recoleta, Barrio Norte",600000,ARS,135000,Paraguay 1500,,,1 dorm.,,16,Recoleta
"Belgrano R, Belgrano",980000,ARS,320000,"Ciudad De La Paz 1900, Piso 3",75.0,,2 dorm.,,30,Belgrano
"Recoleta, Barrio Norte",750000,ARS,150000,Paraguay 1600,36.0,,1 dorm.,1,,Recoleta
"Urquiza R, Villa Urquiza",700000,ARS,147000,"Nahuel Huapi 4900, Piso 1",50.0,,1 dorm.,,13,Villa Urquiza
"Microcentro, Centro",400000,ARS,140000,Florida 800,30.0,,1 dorm.,1,,Microcentro
"Belgrano, Capital Federal",1050000,ARS,260000,"Maure 2300, Piso 4",85.0,,3 dorm.,,50,Belgrano
"Barrio Norte, Capital Federal",870000,ARS,111780,ECUADOR Y AV. CORDOBA 4°,57.0,,2 dorm.,,40,Barrio Norte
"Barrio Norte, Capital Federal",500000,ARS,80000,JEAN JAURES AL 800 8°,58.0,,1 dorm.,,40,Barrio Norte
"Las Cañitas, Palermo",800000,ARS,230000,"Huergo 200, Piso 6",47.0,,1 dorm.,,10,Palermo
"Nuñez, Capital Federal",710000,ARS,260000,"Ciudad de la Paz 3200, Piso 3",45.0,,1 dorm.,,25,Nuñez
"Recoleta, Barrio Norte",550000,ARS,147000,GALLO 900,42.0,,1 dorm.,,22,Recoleta
"Caballito, Capital Federal",850000,ARS,200000,"Yatay 200, Piso 4",60.0,,2 dorm.,,10,Caballito
"Botanico, Palermo",800000,ARS,130000,"Borges 2100, Piso 1",53.0,,1 dorm.,,10,Palermo
"Nuñez, Capital Federal",720000,ARS,150000,"Cuba 3400, Piso 3",60.0,,2 dorm.,,40,Nuñez
"Belgrano, Capital Federal",750000,ARS,150000,"Amenábar 2000 , Piso 9",,,2 dorm.,1,50,Belgrano
"Catalinas, Centro",350000,ARS,220000,"25 de Mayo 700, Piso 4",,,1 dorm.,1,,Retiro
"Palermo Hollywood, Palermo",850000,ARS,140000,"Arévalo 2000, Piso 5",43.0,A Estrenar,1 dorm.,,,Palermo
"Recoleta, Barrio Norte",450000,ARS,,Posadas 1500,,Excelente,,1,,Recoleta
"Barrio Norte, Capital Federal",1500000,ARS,430000,"Av Santa Fe 2900, Piso 5",135.0,,3 dorm.,3,,Barrio Norte
"Flores, Capital Federal",800000,ARS,150000,"Curapaligüe 100, Piso 2",65.0,,2 dorm.,,35,Flores
"Belgrano, Capital Federal",550000,ARS,,"Avenida Cabildo 3900, Piso 6",,1 cochera,,1,,Belgrano
"Chacarita, Capital Federal",730000,ARS,260000,"Charlone 500, Piso 2",45.0,,1 dorm.,1,,Chacarita
